audit_id,date,store_id,store_name,store_format,city,region,auditor_name,brand,product_name,sku_code,variant,size_ml,shelf_facings,total_shelf_facings,share_of_shelf_pct,shelf_level,shelf_position,in_stock,out_of_stock_duration_days,shelf_price,promo_price,on_promotion,display_type,planogram_compliant,competitor_brand,notes
AUD00001,2024-02-25,STR8262,Metro Cash & Carry,Wholesale,Surat,West,Anita Patel,Garnier,Garnier Strengthening Shampoo,GAR340STR38,Strengthening,340,2,37,5.41,Eye Level,Left,True,0,336.82,,False,Free Standing Display,True,Head & Shoulders,
AUD00002,2024-07-07,STR8992,Wellness Forever,Pharmacy,Ahmedabad,West,Rahul Verma,Pantene,Pantene Anti-Dandruff Shampoo,PAN500ANT63,Anti-Dandruff,500,3,42,7.14,Bottom,Center-Left,True,0,414.76,,False,Standard Shelf,True,Sunsilk,
AUD00003,2024-02-04,STR2441,BigBazaar,Hypermarket,Mumbai,West,Neha Gupta,Herbal Essences,Herbal Essences Color Protect Shampoo,HER200COL22,Color Protect,200,3,58,5.17,Mid,Center-Right,True,0,493.43,404.27,True,Gondola End,True,Dove,
AUD00004,2024-07-30,STR8413,Booker,Wholesale,Mumbai,West,Anita Patel,Herbal Essences,Herbal Essences Repair & Care Shampoo,HER400REP10,Repair & Care,400,2,51,3.92,Bottom,Left,True,0,184.59,,False,Clip Strip,False,Sunsilk,
AUD00005,2024-06-09,STR5807,D-Mart,Hypermarket,Mumbai,West,Amit Singh,TRESemmé,TRESemmé Strengthening Shampoo,TRE1000STR32,Strengthening,1000,5,53,9.43,Top,Left,True,0,359.63,298.74,True,Standard Shelf,True,Clinic Plus,
AUD00006,2024-01-24,STR4798,More Supermarket,Supermarket,Mumbai,West,Divya Nair,Head & Shoulders,Head & Shoulders Charcoal Shampoo,HEA500CHA95,Charcoal,500,2,34,5.88,Bottom,Center-Right,True,0,190.24,173.88,True,Free Standing Display,True,Garnier,
AUD00007,2024-12-17,STR1856,Booker,Wholesale,Ahmedabad,West,Anita Patel,Sunsilk,Sunsilk Smoothing Shampoo,SUN200SMO48,Smoothing,200,6,50,12.0,Eye Level,Right,True,0,613.04,,False,Standard Shelf,True,Pantene,
AUD00008,2024-12-26,STR2999,7-Eleven,Convenience,Mumbai,West,Suresh Kumar,Garnier,Garnier Color Protect Shampoo,GAR340COL29,Color Protect,340,3,40,7.5,Top,Center,True,0,453.69,,False,Gondola End,True,Pantene,
AUD00009,2024-07-20,STR3488,WholesaleMart,Wholesale,Hyderabad,South,Divya Nair,Sunsilk,Sunsilk Anti-Dandruff Shampoo,SUN500ANT94,Anti-Dandruff,500,2,48,4.17,Top,Center-Right,True,0,139.79,,False,Free Standing Display,False,Rejoice,
AUD00010,2024-08-09,STR7409,WholesaleMart,Wholesale,Hyderabad,South,Priya Sharma,TRESemmé,TRESemmé Moisturizing Shampoo,TRE340MOI39,Moisturizing,340,8,35,22.86,Bottom,Center,True,0,395.0,,False,Clip Strip,True,Rejoice,
AUD00011,2024-03-02,STR5252,Reliance Fresh Extra,Hypermarket,Hyderabad,South,Rahul Verma,Sunsilk,Sunsilk Strengthening Shampoo,SUN340STR43,Strengthening,340,1,54,1.85,Mid,Center,True,0,379.46,353.8,True,Free Standing Display,True,Garnier,
AUD00012,2024-03-27,STR8919,WholesaleMart,Wholesale,Surat,West,Divya Nair,Pantene,Pantene Color Protect Shampoo,PAN400COL93,Color Protect,400,4,37,10.81,Mid,Right,False,4,602.82,,False,Clip Strip,False,Herbal Essences,
AUD00013,2024-07-15,STR6080,Nature's Basket,Supermarket,Bangalore,South,Rahul Verma,Garnier,Garnier Strengthening Shampoo,GAR500STR77,Strengthening,500,6,23,26.09,Bottom,Right,False,9,131.87,,False,Free Standing Display,True,Dove,
AUD00014,2024-05-06,STR9454,7-Eleven,Convenience,Kolkata,East,Priya Sharma,Head & Shoulders,Head & Shoulders Repair & Care Shampoo,HEA400REP76,Repair & Care,400,8,35,22.86,Top,Right,True,0,357.18,316.62,True,Standard Shelf,False,Clinic Plus,
AUD00015,2024-06-18,STR4077,Daily Needs,Convenience,Hyderabad,South,Rahul Verma,Rejoice,Rejoice Charcoal Shampoo,REJ340CHA59,Charcoal,340,6,23,26.09,Mid,Right,True,0,108.9,,False,Gondola End,False,Head & Shoulders,
AUD00016,2024-04-02,STR9710,Costco India,Wholesale,Surat,West,Neha Gupta,Pantene,Pantene Keratin Shampoo,PAN1000KER57,Keratin,1000,2,25,8.0,Bottom,Left,True,0,582.65,515.75,True,Clip Strip,True,L'Oréal,
AUD00017,2024-11-30,STR5292,QuickMart,Convenience,Bangalore,South,Suresh Kumar,Sunsilk,Sunsilk Volumizing Shampoo,SUN340VOL98,Volumizing,340,7,42,16.67,Top,Center,True,0,427.69,,False,Standard Shelf,True,L'Oréal,
AUD00018,2024-12-01,STR1957,HyperCity,Hypermarket,Delhi,North,Neha Gupta,Dove,Dove Keratin Shampoo,DOV200KER81,Keratin,200,8,24,33.33,Eye Level,Center-Left,True,0,333.92,313.96,True,Standard Shelf,True,Pantene,
AUD00019,2024-09-11,STR4375,Wellness Forever,Pharmacy,Kolkata,East,Rahul Verma,Garnier,Garnier Volumizing Shampoo,GAR340VOL51,Volumizing,340,4,36,11.11,Mid,Center-Right,True,0,331.89,296.28,True,Standard Shelf,True,Herbal Essences,
AUD00020,2024-02-05,STR5404,Nature's Basket,Supermarket,Jaipur,North,Anita Patel,Rejoice,Rejoice Keratin Shampoo,REJ700KER33,Keratin,700,2,44,4.55,Top,Right,True,0,600.2,,False,Free Standing Display,True,Clinic Plus,
AUD00021,2024-05-20,STR4447,Costco India,Wholesale,Kolkata,East,Rahul Verma,Rejoice,Rejoice Repair & Care Shampoo,REJ400REP75,Repair & Care,400,8,42,19.05,Bottom,Center-Left,True,0,207.93,,False,End Cap,False,Sunsilk,
AUD00022,2024-01-25,STR9146,Costco India,Wholesale,Jaipur,North,Divya Nair,Clinic Plus,Clinic Plus Repair & Care Shampoo,CLI1000REP63,Repair & Care,1000,5,30,16.67,Bottom,Center-Right,True,0,332.74,289.28,True,Gondola End,True,Garnier,
